Vertex   Distance from Source
0 		 0
1 		 2624
2 		 3089
3 		 3325
4 		 2100
5 		 2793
6 		 1162
7 		 1306
8 		 2023
9 		 3072
10 		 2750
11 		 3105
12 		 2901
13 		 4108
14 		 3461
15 		 2303
16 		 2356
17 		 2890
18 		 3635
19 		 2852
20 		 3165
21 		 2751
22 		 2590
23 		 1778
24 		 2504
25 		 2147483647
26 		 2447
27 		 2996
28 		 2513
29 		 3071
30 		 2825
31 		 930
32 		 2587
33 		 2210
34 		 3245
35 		 2533
36 		 2474
37 		 2035
38 		 2996
39 		 2978
40 		 2147483647
41 		 1461
42 		 979
43 		 4612
44 		 3258
45 		 5895
46 		 4007
47 		 2104
48 		 1903
49 		 2218
50 		 2887
51 		 2344
52 		 2705
53 		 2267
54 		 2331
55 		 2830
56 		 2880
57 		 2147483647
58 		 2807
59 		 5013
60 		 3939
61 		 2524
62 		 5310
63 		 2420
64 		 2873
65 		 2027
66 		 1992
67 		 1193
68 		 2147483647
69 		 2745
70 		 2147483647
71 		 2658
72 		 3006
73 		 2747
74 		 1610
75 		 2963
76 		 2147483647
77 		 2745
78 		 3006
79 		 2463
80 		 2326
81 		 2445
82 		 2483
83 		 2796
84 		 3168
85 		 2928
86 		 2066
87 		 2147483647
88 		 2384
89 		 2302
90 		 2412
91 		 2828
92 		 2147483647
93 		 3459
94 		 2810
95 		 2106
96 		 2279
97 		 2451
98 		 2291
99 		 1344
100 		 3029
101 		 2945
102 		 2591
103 		 2296
104 		 2648
105 		 2757
106 		 2147483647
107 		 2996
108 		 1619
109 		 2741
110 		 2787
111 		 2147483647
112 		 2764
113 		 2192
114 		 229
115 		 2696
116 		 2575
117 		 3088
118 		 2841
119 		 2725
120 		 2623
121 		 2777
122 		 3155
123 		 3086
124 		 864
125 		 2809
126 		 2081
127 		 3022
128 		 2270
129 		 1791
130 		 3103
131 		 2533
132 		 2006
133 		 2201
134 		 2456
135 		 1662
136 		 2842
137 		 2344
138 		 2035
139 		 3326
140 		 3929
141 		 2927
142 		 2502
143 		 2641
144 		 2657
145 		 1904
146 		 2598
147 		 2147483647
148 		 3120
149 		 2139
150 		 3359
151 		 2248
152 		 3106
153 		 2262
154 		 3014
155 		 2514
156 		 2798
157 		 3360
158 		 2221
159 		 2174
160 		 3102
161 		 2040
162 		 2519
163 		 3140
164 		 2462
165 		 2522
166 		 2991
167 		 3012
168 		 2848
169 		 3081
170 		 2397
171 		 2327
172 		 3184
173 		 2301
174 		 2613
175 		 3066
176 		 1711
177 		 3041
178 		 2986
179 		 3186
180 		 2147483647
181 		 2505
182 		 1387
183 		 2539
184 		 2911
185 		 3121
186 		 2828
187 		 2129
188 		 3119
189 		 2509
190 		 2428
191 		 2502
192 		 3095
193 		 2605
194 		 2876
195 		 2145
196 		 3382
197 		 2036
198 		 3802
199 		 3503
200 		 2621
201 		 2147483647
202 		 2639
203 		 2766
204 		 2447
205 		 3179
206 		 2727
207 		 1878
208 		 3153
209 		 2788
210 		 3818
211 		 2486
212 		 100
213 		 2819
214 		 2480
215 		 3179
216 		 2985
217 		 2650
218 		 1233
219 		 3127
220 		 2412
221 		 2026
222 		 1630
223 		 2185
224 		 1191
225 		 2046
